epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4766,3.69002,12.0085,0.06343,1e-05,0.01333,0,0,4.40094,15.7098,0.10417,0.002,0.002,0.082
2,128.644,3.66547,10.487,0.06402,1e-05,0.01333,0,0,4.35833,15.4983,0.10326,0.00409188,0.00409188,0.0630919
3,182.06,3.55743,9.51565,0.06024,1e-05,0.01333,0,0,4.28974,15.1867,0.10184,0.00617545,0.00617545,0.0441754
4,233.458,3.519,8.73953,0.06214,7e-05,0.06667,5e-05,1e-05,4.21321,12.5673,0.09999,0.0082507,0.0082507,0.0252507
5,284.482,3.30007,7.23494,0.05801,0.40022,0.00476,0.00015,7e-05,nan,nan,nan,0.0099208,0.0099208,0.0099208
6,334.845,3.02368,5.32533,0.0528,0.00108,0.12381,0.00071,0.00019,nan,nan,nan,0.009901,0.009901,0.009901
7,383.149,2.82545,4.33425,0.04966,0.00243,0.24238,0.00264,0.00079,nan,nan,nan,0.0098812,0.0098812,0.0098812
8,432.347,2.63409,3.84702,0.04578,0.0064,0.49063,0.01712,0.00668,2.21349,5.75639,0.05246,0.0098614,0.0098614,0.0098614
9,482.375,2.37843,3.59289,0.03946,0.46044,0.09429,0.05614,0.02151,2.53804,3.53981,0.05957,0.0098416,0.0098416,0.0098416
10,534.288,2.19888,3.35598,0.03517,0.30648,0.12175,0.05894,0.02122,2.71781,3.68775,0.06424,0.0098218,0.0098218,0.0098218
11,588.371,2.07161,3.10954,0.03268,0.27313,0.08317,0.031,0.01273,2.60473,3.71603,0.0601,0.009802,0.009802,0.009802
12,641.232,1.93641,2.87466,0.03049,0.27585,0.02921,0.01506,0.00616,2.34704,4.15016,0.05263,0.0097822,0.0097822,0.0097822
13,692.356,1.84613,2.74513,0.02819,0.313,0.18651,0.10975,0.0537,1.79719,3.39608,0.04148,0.0097624,0.0097624,0.0097624
14,742.55,1.77602,2.56494,0.02711,0.42242,0.14317,0.16684,0.09332,1.62638,3.15215,0.03579,0.0097426,0.0097426,0.0097426
15,792.037,1.73057,2.45345,0.02645,0.44944,0.27397,0.21836,0.11732,1.49601,2.50591,0.03262,0.0097228,0.0097228,0.0097228
16,842.335,1.67218,2.32393,0.02489,0.56057,0.12127,0.14491,0.06313,2.27036,4.0431,0.05632,0.009703,0.009703,0.009703
17,896.451,1.6127,2.2049,0.0243,0.52958,0.34727,0.30153,0.17096,1.62602,2.26127,0.03455,0.0096832,0.0096832,0.0096832
18,949.467,1.59501,2.14224,0.02404,0.46236,0.22175,0.25705,0.13968,1.85787,2.93839,0.04335,0.0096634,0.0096634,0.0096634
19,1002.24,1.59429,2.05689,0.02396,0.48992,0.37,0.32277,0.19679,1.46402,2.43537,0.03184,0.0096436,0.0096436,0.0096436
20,1056.81,1.5486,2.03815,0.02293,0.54422,0.39762,0.31748,0.165,1.64577,2.28656,0.03626,0.0096238,0.0096238,0.0096238
21,1111.28,1.5239,1.9837,0.02305,0.47753,0.36952,0.29669,0.18264,1.50716,2.19032,0.03249,0.009604,0.009604,0.009604
22,1164.47,1.50766,1.89376,0.02261,0.56312,0.31029,0.31346,0.17839,1.669,2.34218,0.03851,0.0095842,0.0095842,0.0095842
23,1216.7,1.50219,1.90043,0.02248,0.63479,0.43874,0.45887,0.30152,1.32492,1.78583,0.0288,0.0095644,0.0095644,0.0095644
24,1269.91,1.48549,1.8856,0.02158,0.60721,0.38463,0.40461,0.28326,1.29638,1.82918,0.02773,0.0095446,0.0095446,0.0095446
25,1323.84,1.48673,1.77119,0.02182,0.57274,0.42079,0.36957,0.23843,1.29863,1.92593,0.02841,0.0095248,0.0095248,0.0095248
26,1375.91,1.4527,1.74921,0.02114,0.62095,0.42549,0.43538,0.29218,1.30873,1.66054,0.02847,0.009505,0.009505,0.009505
27,1428.42,1.46542,1.7688,0.02135,0.73453,0.40738,0.53023,0.36193,1.37918,1.60469,0.02935,0.0094852,0.0094852,0.0094852
28,1478.86,1.44322,1.67655,0.02127,0.52743,0.4274,0.42046,0.27566,1.34547,1.88658,0.0292,0.0094654,0.0094654,0.0094654
29,1529.1,1.44095,1.72121,0.0213,0.53357,0.43524,0.38805,0.25329,1.31984,2.01508,0.02868,0.0094456,0.0094456,0.0094456
30,1581.29,1.43248,1.66349,0.02102,0.6872,0.44302,0.52372,0.34931,1.33385,1.56372,0.02962,0.0094258,0.0094258,0.0094258
31,1634.51,1.38273,1.64844,0.01971,0.57345,0.45587,0.4595,0.31119,1.24757,1.75957,0.02729,0.009406,0.009406,0.009406
32,1687.93,1.42458,1.59435,0.0212,0.66995,0.54417,0.52386,0.36772,1.26455,1.46397,0.02733,0.0093862,0.0093862,0.0093862
33,1742.48,1.3655,1.53965,0.01937,0.63015,0.51784,0.51929,0.34687,1.23768,1.76279,0.02631,0.0093664,0.0093664,0.0093664
34,1796.29,1.39423,1.57227,0.01997,0.73138,0.41321,0.46328,0.30356,1.44879,1.64602,0.03162,0.0093466,0.0093466,0.0093466
35,1847.58,1.35642,1.54446,0.01989,0.62216,0.52666,0.51562,0.36984,1.19722,1.46116,0.026,0.0093268,0.0093268,0.0093268
36,1896.15,1.33805,1.47443,0.01906,0.69922,0.55543,0.58339,0.41599,1.20238,1.23753,0.02663,0.009307,0.009307,0.009307
37,1948.16,1.36503,1.5379,0.01974,0.62022,0.53912,0.53739,0.37934,1.16077,1.45788,0.02509,0.0092872,0.0092872,0.0092872
38,1982.12,1.3435,1.49045,0.01916,0.69481,0.5046,0.54299,0.39098,1.12146,1.49992,0.02348,0.0092674,0.0092674,0.0092674
39,2008.89,1.33267,1.48149,0.01915,0.70071,0.49377,0.56983,0.39124,1.15445,1.35404,0.02398,0.0092476,0.0092476,0.0092476
40,2035.49,1.32767,1.44006,0.01898,0.88331,0.49061,0.62705,0.45805,1.08476,1.1966,0.02305,0.0092278,0.0092278,0.0092278
41,2062.22,1.33294,1.47147,0.01902,0.77946,0.53419,0.64454,0.47597,1.12841,1.18229,0.02494,0.009208,0.009208,0.009208
42,2088.75,1.29892,1.42451,0.01863,0.76048,0.56732,0.65572,0.47075,1.13733,1.14365,0.02414,0.0091882,0.0091882,0.0091882
43,2115.44,1.30966,1.45583,0.01876,0.74775,0.59402,0.63688,0.46519,1.05563,1.16872,0.02243,0.0091684,0.0091684,0.0091684
44,2141.96,1.32299,1.38352,0.01921,0.75441,0.5917,0.62986,0.43205,1.16992,1.25514,0.02503,0.0091486,0.0091486,0.0091486
45,2172.93,1.27544,1.37756,0.01823,0.74478,0.56556,0.61612,0.45529,1.06781,1.3067,0.02229,0.0091288,0.0091288,0.0091288
46,2204.16,1.28285,1.38408,0.01831,0.71362,0.5654,0.61547,0.45984,1.09463,1.29364,0.02321,0.009109,0.009109,0.009109
47,2239,1.30267,1.34645,0.01816,0.81896,0.58349,0.69431,0.52535,1.01245,1.21523,0.02065,0.0090892,0.0090892,0.0090892
48,2283.4,1.27192,1.3483,0.01814,0.76378,0.57982,0.64171,0.45581,1.14356,1.15279,0.02453,0.0090694,0.0090694,0.0090694
49,2330.41,1.29278,1.35648,0.01846,0.8135,0.48206,0.6006,0.44069,1.02797,1.33269,0.02186,0.0090496,0.0090496,0.0090496
50,2355.71,1.27977,1.31403,0.01849,0.79734,0.49413,0.62457,0.44286,1.13015,1.15146,0.0243,0.0090298,0.0090298,0.0090298
51,2389.59,1.28235,1.29517,0.01851,0.74878,0.57351,0.68521,0.4977,1.12111,1.21578,0.02358,0.00901,0.00901,0.00901
52,2417.54,1.24899,1.30525,0.01773,0.76619,0.54091,0.58871,0.44576,1.06577,1.33293,0.02252,0.0089902,0.0089902,0.0089902
53,2451.39,1.24889,1.26334,0.01751,0.79866,0.64175,0.71809,0.52853,1.0779,0.98559,0.02276,0.0089704,0.0089704,0.0089704
54,2501.63,1.24456,1.24954,0.01771,0.84974,0.5896,0.69052,0.49663,1.15044,1.0454,0.0247,0.0089506,0.0089506,0.0089506
55,2550.91,1.25378,1.27854,0.01833,0.80761,0.57067,0.68576,0.50169,1.09839,1.10178,0.0229,0.0089308,0.0089308,0.0089308
56,2599.96,1.26218,1.2807,0.01753,0.73366,0.5646,0.63673,0.48745,1.04475,1.13798,0.02219,0.008911,0.008911,0.008911
57,2651.16,1.25137,1.22611,0.01798,0.80077,0.64702,0.79349,0.57396,1.05201,0.92946,0.02247,0.0088912,0.0088912,0.0088912
58,2704.28,1.26207,1.25962,0.01802,0.77575,0.5764,0.68503,0.49737,1.06388,1.07943,0.02284,0.0088714,0.0088714,0.0088714
59,2756.4,1.23404,1.22344,0.0176,0.84807,0.59659,0.74711,0.56118,1.02406,0.86282,0.02153,0.0088516,0.0088516,0.0088516
60,2808.66,1.24296,1.20766,0.01792,0.8246,0.56271,0.65036,0.4863,1.01831,1.09039,0.02147,0.0088318,0.0088318,0.0088318
61,2859.96,1.22107,1.19824,0.01714,0.88441,0.59648,0.7404,0.56443,1.0179,0.89058,0.02191,0.008812,0.008812,0.008812
62,2911.02,1.22413,1.17392,0.01683,0.78149,0.64595,0.7356,0.55459,0.99517,0.93999,0.02086,0.0087922,0.0087922,0.0087922
63,2960.76,1.22864,1.17918,0.01747,0.74847,0.68312,0.73402,0.54212,1.00374,0.88522,0.02159,0.0087724,0.0087724,0.0087724
64,3011.88,1.20529,1.18259,0.01687,0.80864,0.7086,0.79453,0.60947,0.96531,0.85511,0.02,0.0087526,0.0087526,0.0087526
65,3064.07,1.1825,1.14976,0.01683,0.79282,0.65305,0.73916,0.5627,0.94694,0.92716,0.01976,0.0087328,0.0087328,0.0087328
66,3115.8,1.23634,1.16224,0.01789,0.85215,0.62804,0.75648,0.55831,1.01807,0.89023,0.02185,0.008713,0.008713,0.008713
67,3166.62,1.21461,1.16464,0.01726,0.87381,0.65447,0.74374,0.55918,1.00563,0.88093,0.02139,0.0086932,0.0086932,0.0086932
68,3218.61,1.21176,1.14387,0.01717,0.86581,0.66705,0.77104,0.59164,0.91191,0.88954,0.01894,0.0086734,0.0086734,0.0086734
69,3267.58,1.20142,1.14073,0.01704,0.87527,0.64129,0.77318,0.60088,0.90718,0.84184,0.01912,0.0086536,0.0086536,0.0086536
70,3317.88,1.19875,1.13878,0.01663,0.92323,0.64765,0.8127,0.62819,0.96887,0.75554,0.02054,0.0086338,0.0086338,0.0086338
71,3366.94,1.19626,1.15781,0.01715,0.8666,0.63779,0.82472,0.6374,0.96277,0.79475,0.02012,0.008614,0.008614,0.008614
72,3419.2,1.20556,1.12834,0.017,0.7153,0.81848,0.84266,0.63478,1.03219,0.69421,0.02225,0.0085942,0.0085942,0.0085942
73,3472.72,1.20194,1.12355,0.01683,0.87138,0.6768,0.81851,0.62846,0.90404,0.73519,0.01878,0.0085744,0.0085744,0.0085744
74,3522.85,1.18326,1.11476,0.01631,0.83287,0.64159,0.75564,0.57838,0.93774,0.95269,0.01944,0.0085546,0.0085546,0.0085546
75,3573.9,1.16791,1.1251,0.01613,0.88172,0.5831,0.77754,0.59978,0.9667,0.91187,0.02068,0.0085348,0.0085348,0.0085348
76,3620.89,1.18063,1.08163,0.01626,0.89394,0.59498,0.79439,0.61743,0.95895,0.82809,0.01993,0.008515,0.008515,0.008515
77,3670.75,1.18243,1.08848,0.01665,0.8055,0.64492,0.80538,0.60898,0.93444,0.8275,0.01953,0.0084952,0.0084952,0.0084952
78,3720.37,1.16606,1.10353,0.01578,0.75456,0.76222,0.81765,0.62078,0.95016,0.70247,0.02,0.0084754,0.0084754,0.0084754
79,3771.2,1.17603,1.10835,0.01651,0.82118,0.68313,0.85365,0.63231,1.03888,0.78449,0.02178,0.0084556,0.0084556,0.0084556
80,3822.51,1.15735,1.09427,0.01583,0.84083,0.61571,0.72417,0.56588,0.96623,0.94345,0.01987,0.0084358,0.0084358,0.0084358
81,3873.43,1.19707,1.08291,0.01711,0.71896,0.73379,0.78908,0.59,1.01687,0.86765,0.02114,0.008416,0.008416,0.008416
82,3925.54,1.15604,1.06469,0.01595,0.89598,0.67618,0.82032,0.61994,0.99894,0.7556,0.0208,0.0083962,0.0083962,0.0083962
83,3976.84,1.15856,1.07394,0.01624,0.92574,0.6179,0.8105,0.6099,0.97867,0.71025,0.02105,0.0083764,0.0083764,0.0083764
84,4028.43,1.1707,1.05054,0.01643,0.87424,0.6745,0.8887,0.65124,0.99002,0.72585,0.02061,0.0083566,0.0083566,0.0083566
85,4080.01,1.15281,1.01779,0.01581,0.90953,0.62249,0.81423,0.62078,0.95824,0.77643,0.01936,0.0083368,0.0083368,0.0083368
86,4131.47,1.15423,1.02956,0.01606,0.80181,0.66096,0.80945,0.60124,1.01228,0.832,0.02114,0.008317,0.008317,0.008317
87,4182.81,1.15161,1.03955,0.01602,0.57295,0.75694,0.79186,0.62208,0.90417,0.74804,0.01856,0.0082972,0.0082972,0.0082972
88,4233.93,1.14904,1.06773,0.01569,0.82785,0.68704,0.77502,0.60001,0.94288,0.77726,0.0194,0.0082774,0.0082774,0.0082774
89,4284.82,1.14308,1.00205,0.016,0.9042,0.66317,0.8053,0.61744,0.9851,0.713,0.0208,0.0082576,0.0082576,0.0082576
90,4334.92,1.13708,1.0168,0.01574,0.91057,0.6146,0.77714,0.56809,1.03605,0.92454,0.02156,0.0082378,0.0082378,0.0082378
91,4383.52,1.1283,0.9991,0.0154,0.80792,0.75669,0.87659,0.67058,0.92497,0.65185,0.0187,0.008218,0.008218,0.008218
92,4432.67,1.16303,0.9975,0.01602,0.73442,0.81762,0.9105,0.70081,0.88952,0.58487,0.01786,0.0081982,0.0081982,0.0081982
93,4484.38,1.13412,0.98863,0.01571,0.82481,0.77416,0.85258,0.64851,0.89972,0.68397,0.01865,0.0081784,0.0081784,0.0081784
94,4535.81,1.13283,1.02174,0.01567,0.73845,0.73686,0.79776,0.60496,0.94863,0.6964,0.02,0.0081586,0.0081586,0.0081586
95,4587.81,1.13065,1.00745,0.01549,0.69986,0.8459,0.90333,0.6868,0.87496,0.61589,0.01789,0.0081388,0.0081388,0.0081388
96,4638.97,1.09719,0.96933,0.01519,0.76135,0.8019,0.88137,0.68239,0.81987,0.62241,0.01679,0.008119,0.008119,0.008119
97,4689.24,1.13854,1.0215,0.01539,0.74079,0.80076,0.82838,0.67729,0.83616,0.62993,0.01733,0.0080992,0.0080992,0.0080992
98,4740.21,1.1147,0.94777,0.01597,0.76082,0.81787,0.89634,0.70348,0.88415,0.58424,0.0183,0.0080794,0.0080794,0.0080794
99,4787.74,1.13254,0.95559,0.01593,0.92287,0.69206,0.84098,0.6562,0.89644,0.66384,0.01833,0.0080596,0.0080596,0.0080596
100,4840.92,1.1225,0.98289,0.01554,0.7612,0.8214,0.87278,0.68227,0.88009,0.67551,0.01812,0.0080398,0.0080398,0.0080398
101,4892.95,1.10915,0.96061,0.0152,0.9327,0.72152,0.8913,0.67982,0.8989,0.65335,0.01867,0.00802,0.00802,0.00802
102,4942.68,1.11813,0.98522,0.01535,0.71433,0.85143,0.86782,0.66597,0.97128,0.63663,0.02062,0.0080002,0.0080002,0.0080002
103,4993.49,1.11653,0.93646,0.01587,0.84141,0.82063,0.87083,0.68772,0.85482,0.6228,0.01751,0.0079804,0.0079804,0.0079804
104,5044.32,1.09552,0.91847,0.01508,0.82694,0.80601,0.90282,0.70314,0.8571,0.56703,0.01747,0.0079606,0.0079606,0.0079606
105,5093.11,1.1171,0.96582,0.0155,0.66561,0.77905,0.83998,0.63117,0.95316,0.67133,0.02006,0.0079408,0.0079408,0.0079408
106,5140.28,1.10146,0.94049,0.01501,0.87507,0.74298,0.89053,0.68292,0.84874,0.62676,0.01771,0.007921,0.007921,0.007921
107,5192.44,1.11273,0.93394,0.01561,0.80675,0.66282,0.76192,0.61659,0.86828,0.84868,0.01809,0.0079012,0.0079012,0.0079012
108,5244.71,1.08474,0.92783,0.01506,0.88444,0.79591,0.91938,0.72191,0.87704,0.5363,0.01788,0.0078814,0.0078814,0.0078814
109,5296.01,1.10144,0.93426,0.01521,0.8554,0.84762,0.91116,0.71483,0.82857,0.51923,0.01695,0.0078616,0.0078616,0.0078616
110,5347.35,1.08343,0.9043,0.01503,0.92578,0.81034,0.91524,0.73447,0.835,0.51139,0.0169,0.0078418,0.0078418,0.0078418
111,5398.76,1.10205,0.89621,0.01542,0.7026,0.80296,0.89767,0.73023,0.79817,0.51055,0.01627,0.007822,0.007822,0.007822
112,5443.75,1.07899,0.95717,0.01484,0.8234,0.86,0.91903,0.72007,0.85663,0.55758,0.01784,0.0078022,0.0078022,0.0078022
113,5486.23,1.1008,0.92187,0.01521,0.81943,0.8142,0.92641,0.72966,0.81554,0.49636,0.01615,0.0077824,0.0077824,0.0077824
114,5530.35,1.10792,0.92792,0.01538,0.87166,0.8417,0.89503,0.70575,0.85158,0.61,0.01754,0.0077626,0.0077626,0.0077626
115,5577.18,1.08386,0.93284,0.01466,0.77908,0.79188,0.87429,0.70242,0.81588,0.55695,0.01648,0.0077428,0.0077428,0.0077428
116,5622.31,1.08664,0.90041,0.01515,0.79821,0.87764,0.92247,0.72949,0.818,0.54233,0.01639,0.007723,0.007723,0.007723
117,5668.77,1.07185,0.87185,0.0148,0.8823,0.78511,0.93341,0.71236,0.93543,0.56981,0.01954,0.0077032,0.0077032,0.0077032
118,5714.55,1.06615,0.89325,0.01495,0.91154,0.82364,0.9115,0.72482,0.82319,0.42478,0.01657,0.0076834,0.0076834,0.0076834
119,5760.95,1.10246,0.88366,0.01521,0.82957,0.83183,0.91148,0.70752,0.86219,0.56332,0.01764,0.0076636,0.0076636,0.0076636
120,5806.82,1.05796,0.85812,0.01504,0.788,0.83061,0.92524,0.72058,0.82165,0.57297,0.01682,0.0076438,0.0076438,0.0076438
121,5852.6,1.08813,0.89663,0.01464,0.74804,0.78618,0.86351,0.67895,0.84843,0.61157,0.0172,0.007624,0.007624,0.007624
122,5899.65,1.08183,0.87885,0.01502,0.85803,0.83275,0.9346,0.74717,0.80028,0.52993,0.01632,0.0076042,0.0076042,0.0076042
123,5946.71,1.07224,0.86114,0.01447,0.83131,0.92952,0.94907,0.76224,0.77571,0.50222,0.01535,0.0075844,0.0075844,0.0075844
124,5994.31,1.06689,0.87332,0.01454,0.93837,0.80598,0.92579,0.73694,0.81716,0.48818,0.01667,0.0075646,0.0075646,0.0075646
125,6041.38,1.0392,0.8514,0.01433,0.88163,0.81999,0.90438,0.73458,0.77606,0.5194,0.01571,0.0075448,0.0075448,0.0075448
126,6087.49,1.0772,0.88428,0.01502,0.81212,0.84116,0.9157,0.73051,0.82253,0.50397,0.01689,0.007525,0.007525,0.007525
127,6134.19,1.06808,0.87697,0.01456,0.88796,0.79194,0.94218,0.74375,0.79293,0.51865,0.01606,0.0075052,0.0075052,0.0075052
128,6178.34,1.06342,0.85906,0.01464,0.89665,0.80117,0.90236,0.7288,0.79307,0.54657,0.01603,0.0074854,0.0074854,0.0074854
129,6223.91,1.04146,0.85112,0.0144,0.85211,0.8,0.91517,0.72757,0.76361,0.59087,0.01538,0.0074656,0.0074656,0.0074656
130,6270.45,1.05687,0.84649,0.01449,0.91371,0.82176,0.92595,0.75954,0.74411,0.4434,0.01476,0.0074458,0.0074458,0.0074458
131,6317.4,1.04351,0.86968,0.01421,0.7427,0.89558,0.94697,0.77212,0.77099,0.52352,0.01544,0.007426,0.007426,0.007426
132,6364.28,1.06412,0.84112,0.01424,0.87017,0.8545,0.93458,0.75704,0.76988,0.50147,0.01524,0.0074062,0.0074062,0.0074062
133,6409.27,1.04105,0.8255,0.01485,0.87942,0.83627,0.93967,0.78233,0.70892,0.48748,0.01397,0.0073864,0.0073864,0.0073864
134,6455.62,1.0277,0.84121,0.01444,0.93215,0.86347,0.94244,0.77513,0.73221,0.43258,0.01467,0.0073666,0.0073666,0.0073666
135,6501.67,1.04956,0.85594,0.01453,0.92824,0.79335,0.91462,0.75804,0.75441,0.49106,0.01531,0.0073468,0.0073468,0.0073468
136,6548.05,1.04894,0.83408,0.01454,0.88319,0.84483,0.92484,0.73715,0.77526,0.5018,0.01569,0.007327,0.007327,0.007327
137,6593.27,1.02199,0.78171,0.01441,0.87224,0.8035,0.90011,0.74467,0.76412,0.49942,0.0153,0.0073072,0.0073072,0.0073072
138,6640.05,1.03855,0.84671,0.01387,0.89254,0.80082,0.91572,0.74358,0.72199,0.48604,0.01475,0.0072874,0.0072874,0.0072874
139,6685.64,1.01587,0.81002,0.01371,0.94533,0.86273,0.94303,0.78498,0.69476,0.38526,0.01384,0.0072676,0.0072676,0.0072676
140,6731.65,1.05276,0.83213,0.01452,0.86822,0.89805,0.93774,0.77064,0.74785,0.39814,0.01494,0.0072478,0.0072478,0.0072478
141,6777.68,1.04788,0.83338,0.01432,0.94283,0.82045,0.95778,0.78426,0.73678,0.46045,0.01487,0.007228,0.007228,0.007228
142,6823.99,1.02583,0.80256,0.01435,0.92438,0.81262,0.90814,0.72936,0.78316,0.51628,0.01579,0.0072082,0.0072082,0.0072082
143,6873.52,1.04974,0.83263,0.01443,0.93711,0.80685,0.95547,0.7751,0.73465,0.44737,0.0145,0.0071884,0.0071884,0.0071884
144,6921.6,1.0275,0.79226,0.01448,0.90964,0.85425,0.93603,0.77348,0.75328,0.44051,0.01527,0.0071686,0.0071686,0.0071686
145,6966.89,1.01756,0.81765,0.01403,0.9378,0.77212,0.88957,0.72824,0.76455,0.51748,0.015,0.0071488,0.0071488,0.0071488
146,7013.1,1.02261,0.81349,0.01402,0.93728,0.83375,0.9008,0.71962,0.79423,0.45602,0.01561,0.007129,0.007129,0.007129
147,7060.02,1.01903,0.80069,0.01405,0.93596,0.86738,0.93759,0.77296,0.72736,0.41795,0.01466,0.0071092,0.0071092,0.0071092
148,7106.21,1.02646,0.81676,0.01404,0.89609,0.90642,0.95957,0.7856,0.73209,0.35262,0.01481,0.0070894,0.0070894,0.0070894
149,7153.41,1.01005,0.76438,0.01383,0.91251,0.8804,0.94332,0.78243,0.70447,0.43284,0.01397,0.0070696,0.0070696,0.0070696
150,7199.59,1.00041,0.76332,0.0142,0.82497,0.91186,0.96932,0.80603,0.71203,0.43762,0.01456,0.0070498,0.0070498,0.0070498
151,7244.83,1.00059,0.77815,0.01367,0.89468,0.90232,0.93634,0.79064,0.6892,0.45162,0.0137,0.00703,0.00703,0.00703
152,7290.51,1.00953,0.78645,0.01392,0.90309,0.94121,0.95944,0.80173,0.70948,0.32603,0.0145,0.0070102,0.0070102,0.0070102
153,7335.1,0.99136,0.76092,0.01358,0.89937,0.91905,0.96249,0.80352,0.70487,0.41199,0.01385,0.0069904,0.0069904,0.0069904
154,7380.38,1.00399,0.75609,0.01352,0.96121,0.89907,0.9584,0.78981,0.68253,0.40637,0.01374,0.0069706,0.0069706,0.0069706
155,7427.11,0.98374,0.73982,0.01322,0.94016,0.86346,0.9533,0.81363,0.68142,0.38098,0.0136,0.0069508,0.0069508,0.0069508
156,7471.95,1.00408,0.73375,0.01342,0.92789,0.94774,0.97186,0.80668,0.71339,0.34152,0.01431,0.006931,0.006931,0.006931
157,7517.5,0.97936,0.74829,0.0135,0.90527,0.88435,0.94785,0.79056,0.71185,0.3803,0.01445,0.0069112,0.0069112,0.0069112
158,7561.19,0.99316,0.76178,0.01362,0.92137,0.92851,0.98135,0.80817,0.66782,0.35847,0.01313,0.0068914,0.0068914,0.0068914
159,7606.81,0.98963,0.75411,0.01349,0.87774,0.93311,0.95498,0.80085,0.69884,0.30735,0.0142,0.0068716,0.0068716,0.0068716
160,7651.66,1.01697,0.77741,0.01382,0.87793,0.88416,0.93618,0.77272,0.67304,0.40682,0.01349,0.0068518,0.0068518,0.0068518
161,7696.9,0.99906,0.77907,0.01354,0.94594,0.80419,0.95135,0.77084,0.76981,0.47443,0.01546,0.006832,0.006832,0.006832
162,7742.71,0.99986,0.77918,0.01346,0.98655,0.90216,0.95634,0.79911,0.6668,0.3242,0.01319,0.0068122,0.0068122,0.0068122
163,7787.2,0.99892,0.78586,0.01378,0.94493,0.84794,0.95092,0.7974,0.68667,0.37116,0.01387,0.0067924,0.0067924,0.0067924
164,7832.62,0.99079,0.75101,0.01341,0.92641,0.80767,0.95471,0.78996,0.70082,0.42419,0.01431,0.0067726,0.0067726,0.0067726
165,7879.57,0.98922,0.74247,0.01368,0.89536,0.89444,0.9494,0.77862,0.71737,0.44524,0.01473,0.0067528,0.0067528,0.0067528
166,7925.49,0.97377,0.75957,0.01319,0.90611,0.87379,0.93965,0.79171,0.6829,0.38525,0.0139,0.006733,0.006733,0.006733
